what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1728902008659
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1728902008917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728902045519
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728903404482
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1728903404514
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1728903413761
started,bundle,org.eclipse.jpt.jpa.ui,3.0.0.v201105170000,"org.eclipse.jpt.jpa.ui",1728903434746
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728904327831
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728904658496
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1728904660512
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1728904660649
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1728904664231
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728904679980
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728904775736
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1728904777739
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1728904777942
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1728904781488
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1728904784640
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1728904784868
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1728904804879
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1728904804884
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1728904804896
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1728904834999
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728904839389
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728904855080
opened,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1728904855499
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1728904855582
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1728904924663
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1728904942510
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1728904989708
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1728904999979
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1728905003142
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1728905003377
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1728905012458
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905019786
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905061719
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905068978
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905086490
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905094229
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905108056
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905118429
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1728905169585
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905170133
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1728905170483
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1728905170852
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1728905171099
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905173806
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905186684
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1728905194381
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1728905200085
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1728905200093
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1728905200094
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905201767
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905201966
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1728905204848
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905218366
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905235952
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1728905238715
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1728905240885
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905254784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905269265
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1728905269710
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1728905269811
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1728905286045
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905289512
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905289562
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1728905292078
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1728905292360
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905295688
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905324133
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905331602
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905331677
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1728905334173
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1728905340914
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905345625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905345659
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905350642
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905350891
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905355094
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905355341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905367734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905368442
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905368561
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905370606
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905402638
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728905414929
