what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1732087337283
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1732087338841
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1732087377960
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1732087382642
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732087390157
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732087406478
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1732087418044
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1732087433932
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1732087434016
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1732087434317
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1732087437457
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1732087438159
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1732087438845
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1732087460237
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1732087464912
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1732087548681
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1732087551804
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732087601845
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732087610402
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1732087612189
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1732087628464
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732087630841
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732087655609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732087665597
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732087670628
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1732087671681
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1732087671928
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1732087677696
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732087678529
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732087688872
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1732087694794
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732087696075
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732087708329
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1732087713206
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732087714193
