what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728990085132
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1728990086126
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1728990089136
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1728990109134
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1728990113100
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1728990114650
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728990118614
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728990128446
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.launchShortcut.run",1728990128469
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728990128886
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728990131393
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728990184404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728990484374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728990485688
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728990650484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728990735275
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728990806858
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728990814652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728990820602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728990871016
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728991117851
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1728991118223
