what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1731662490563
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1731662491027
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731662562365
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731662880064
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731662883525
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663166602
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1731663166649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663170745
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663170792
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1731663170798
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663174860
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663178743
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663183940
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663183987
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1731663183987
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663188170
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663198892
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663226633
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663229102
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1731663231578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663234671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663469692
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1731663479219
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1731663481208
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1731663481471
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1731663489969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663508450
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663510385
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1731663533941
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663563053
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663563068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663563183
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663631204
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663690846
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663821019
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663823386
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663850051
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663855859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663861306
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1731663891081
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663891904
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663952627
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1731663970705
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1731663979724
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731663981091
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731664191330
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731664197146
