what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732261331084
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732261344108
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732261344967
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732261389044
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732261389600
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732261565126
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732261566262
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732261942449
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732261957305
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732261957315
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732261959136
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732261984746
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1732261986332
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732261988437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262009553
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262018091
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262030545
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262043462
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262049414
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1732262050578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262052579
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262059304
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262066504
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262069455
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262091414
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262142187
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1732262166734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262174316
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262200306
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1732262226866
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262234217
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262250106
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262266116
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262273355
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1732262274841
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1732262290746
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262296954
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262304466
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262317164
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262414060
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262477400
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262477563
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1732262479754
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1732262480055
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1732262480325
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1732262480610
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1732262480926
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1732262481243
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1732262481584
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1732262481792
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1732262482061
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1732262482277
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1732262482562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1732262482932
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262489405
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262525906
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1732262530455
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1732262531057
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1732262532159
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262568323
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262578879
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262582325
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262595943
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262596847
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262601703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1732262603991
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262622942
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262623058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262672483
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262687336
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262702204
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262705715
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1732262710443
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262711276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262714310
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262717718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262717849
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1732262721670
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1732262742130
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262747689
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262774516
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262802066
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262802218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262824710
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262865300
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1732262867738
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1732262867917
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1732262883115
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262889591
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262904940
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262937751
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1732262948234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1732262949805
