what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731390427362
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731390433089
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731390437949
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1731390437986
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1731390439406
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1731390445220
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731390446256
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731390510626
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731390514317
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731390514568
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1731390514576
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1731390531837
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731390991721
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731390994736
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1731390998299
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1731391002872
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1731391014673
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1731391022234
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1731391022498
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1731391027617
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1731391081828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1731391097752
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391250563
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391265459
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391371841
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391372005
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391420681
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391435755
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391487082
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391570779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391632522
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391640100
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391789317
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391826010
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391849525
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391853213
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391857863
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391858044
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391863308
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391874027
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391909066
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391913421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391924812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391931132
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391985757
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391985955
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1731391993744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391996193
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391998387
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731391999937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392068535
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1731392072893
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392101250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392118996
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1731392120646
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1731392124646
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392132137
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1731392134143
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1731392134150
opened,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1731392154572
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392154652
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.launchShortcut.run",1731392154704
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1731392155272
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1731392158316
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392158519
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392187436
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392203725
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392225707
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1731392227865
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1731392238022
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392238984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392242151
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392242349
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392250084
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392282640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392338331
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392364161
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392367246
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1731392388581
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392390504
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392394157
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392394356
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392402490
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392441583
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392441846
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1731392486825
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1731392518907
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1731392639050
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731392641355
