what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731471262724
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731471313355
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731471314677
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731471319038
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1731471332254
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1731471333571
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731471358370
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731471426127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731471937567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472031710
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1731472033908
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1731472034157
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472044477
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472141714
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472145518
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472146409
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472150094
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472174019
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1731472175849
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1731472176100
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1731472185374
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1731472190523
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1731472190528
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1731472190532
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472198542
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472200227
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1731472203839
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472216073
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472618181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472628852
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472654483
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472655215
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472810771
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472821747
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472837038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472853029
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472857206
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1731472942467
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472954898
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472983722
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731472993925
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731473000299
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1731473165368
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1731473172753
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731473174053
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731473255994
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1731473309093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1731473310441
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1731473313054
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1731473315343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731473323432
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1731473333035
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.format",1731473494295
